"Time","Force","Position","Speed","Acceleration"
52.02,50,0.999993175477406,8.7592162330288e-09,3.41640188690707e-06
52.03,50,0.999993175734965,4.27524062549536e-08,3.39931900219316e-06
52.04,50,0.999993176331596,7.65739240328711e-08,3.38215177779242e-06
52.05,50,0.99999317726558,1.10222938939228e-07,3.364901490634e-06
52.06,50,0.999993178535188,1.43698633092885e-07,3.34756941536637e-06
52.07,50,0.999993180138682,1.77000201335883e-07,3.33015682430044e-06
52.08,50,0.999993182074318,2.10126851209853e-07,3.31266498739769e-06
52.09,50,0.999993184340341,2.43077802933764e-07,3.2950951723894e-06
52.1,50,0.999993186934992,2.75852289378204e-07,3.27744864444466e-06
52.11,50,0.999993189856501,3.08449556040674e-07,3.25972666624759e-06
52.12,50,0.999993193103093,3.40868861020503e-07,3.24193049798127e-06
52.13,50,0.999993196672984,3.73109474994193e-07,3.22406139736959e-06
52.14,50,0.999993200564385,4.0517068118635e-07,3.20612061921642e-06
52.15,50,0.999993204775497,4.37051775345728e-07,3.1881094159384e-06
52.16,50,0.999993209304517,4.68752065715278e-07,3.17002903695342e-06
52.17,50,0.999993214149631,5.00270873005676e-07,3.15188072904042e-06
52.18,50,0.999993219309023,5.31607530368101e-07,3.1336657362431e-06
52.19,50,0.999993224780868,5.62761383363571e-07,3.11538529954762e-06
52.2,50,0.999993230563334,5.93731789934225e-07,3.09704065706378e-06
52.21,50,0.999993236654583,6.24518120374234e-07,3.07863304400152e-06
52.22,50,0.999993243052773,6.5511975729846e-07,3.06016369242318e-06
52.23,50,0.999993249756052,6.85536095613416e-07,3.04163383149407e-06
52.24,50,0.999993256762565,7.15766542484289e-07,3.02304468708792e-06
52.25,50,0.99999326407045,7.45810517305165e-07,3.0043974820882e-06
52.26,50,0.99999327167784,7.75667451665087e-07,2.98569343599278e-06
52.27,50,0.999993279582861,8.05336789317243e-07,2.96693376521406e-06
52.28,50,0.999993287783635,8.34817986145751e-07,2.94811968285139e-06
52.29,50,0.999993296278278,8.64110510131539e-07,2.92925239857947e-06
52.3,50,0.999993305064899,8.93213841318724e-07,2.91033311871693e-06
52.31,50,0.999993314141606,9.22127471781128e-07,2.891363046241e-06
52.32,50,0.999993323506498,9.50850905586805e-07,2.8723433805683e-06
52.33,50,0.999993333157671,9.7938365876392e-07,2.85327531771203e-06
52.34,50,0.999993343093215,1.00772525926349e-06,2.83416004995559e-06
52.35,50,0.999993353311218,1.03587524692502e-06,2.81499876615338e-06
52.36,50,0.99999336380976,1.06383317343989e-06,2.79579265148748e-06
52.37,50,0.999993374586919,1.09159860231367e-06,2.77654288737656e-06
52.38,50,0.999993385640767,1.11917110883113e-06,2.75725065174646e-06
52.39,50,0.999993396969374,1.14655028001552e-06,2.73791711844021e-06
52.4,50,0.999993408570804,1.17373571459315e-06,2.71854345776288e-06
52.41,50,0.999993420443118,1.20072702295471e-06,2.69913083615502e-06
52.42,50,0.999993432584372,1.22752382711544e-06,2.67968041607347e-06
52.43,50,0.99999344499262,1.25412576067661e-06,2.66019335611788e-06
52.44,50,0.999993457665911,1.28053246878591e-06,2.6406708109305e-06
52.45,50,0.999993470602291,1.3067436080976e-06,2.62111393116694e-06
