Time,Desired_Position,Position,Speed,Acceleration,Control_Input,Error
18.580000000000002,1.0,0.9944780439872738,0.0012230863547391226,-0.0002913838316457807,49.75591813393607,0.0055219560127262035
18.59,1.0,0.994490258500689,0.00122014705812846,-0.0002899558559165237,49.75652469234922,0.005509741499311049
18.6,1.0,0.9945024436986747,0.0012172220797532886,-0.0002885370372443908,49.75712958519696,0.005497556301325313
18.61,1.0,0.9945145997239221,0.001214311327910556,-0.00028712744922804753,49.75773280766883,0.005485400276077912
18.62,1.0,0.9945267267182014,0.0012114147101657436,-0.00028572716283713494,49.75833435513464,0.005473273281798585
18.63,1.0,0.9945388248223547,0.0012085321333791088,-0.00028433624633230904,49.75893422315346,0.005461175177645328
18.64,1.0,0.9945508941762887,0.001205663503732709,-0.0002829547653046166,49.75953240747061,0.0054491058237112755
18.650000000000002,1.0,0.9945629349189679,0.001202808726757067,-0.00028158278261741857,49.760128904024505,0.005437065081032144
18.66,1.0,0.9945749471884089,0.00119996770735838,-0.00028022035865305254,49.76072370892306,0.005425052811591113
18.67,1.0,0.9945869311216735,0.0011971403498432667,-0.00027886755102450437,49.76131681847339,0.005413068878326488
18.68,1.0,0.994598886854864,0.001194326557946427,-0.0002775244149104745,49.76190822914947,0.005401113145136027
18.69,1.0,0.9946108145231163,0.001191526234854915,-0.00027619100279559,49.762497937619,0.005389185476883718
18.7,1.0,0.9946227142605953,0.0011887392832350405,-0.00027486736466163274,49.763085940725354,0.005377285739404658
18.71,1.0,0.9946345862004901,0.0011859656052573132,-0.00027355354797713237,49.76367223548966,0.005365413799509944
18.72,1.0,0.9946464304750079,0.0011832051026215602,-0.00027224959764142833,49.76425681911733,0.005353569524992108
18.73,1.0,0.9946582472153712,0.0011804576765825313,-0.0002709555561554266,49.76483968898214,0.005341752784628784
18.740000000000002,1.0,0.9946700365518121,0.0011777232279738428,-0.00026967146346588327,49.765420842642705,0.005329963448187924
18.75,1.0,0.9946817986135689,0.0011750016572334573,-0.0002683973571493141,49.766000277825185,0.005318201386431132
18.76,1.0,0.994693533528882,0.0011722928644273436,-0.0002671332723082194,49.76657799243465,0.005306466471117988
18.77,1.0,0.9947052414249905,0.001169596749274138,-0.00026587924166306636,49.76715398454692,0.005294758575009495
18.78,1.0,0.9947169224281288,0.0011669132111689282,-0.00026463529557803665,49.76772825240708,0.005283077571871186
18.79,1.0,0.9947285766635232,0.0011642421492067566,-0.00026340146201003713,49.7683007944355,0.005271423336476788
18.8,1.0,0.9947402042553896,0.0011615834622066418,-0.00026217776664725826,49.76887160921508,0.00525979574461044
18.81,1.0,0.99475180532693,0.0011589370487341895,-0.0002609642328035953,49.76944069550285,0.005248194673070028
18.82,1.0,0.9947633800003313,0.0011563028071253064,-0.0002597608815917272,49.770008052213655,0.005236619999668735
18.830000000000002,1.0,0.9947749283967625,0.0011536806355081316,-0.0002585677318405753,49.77057367842947,0.0052250716032374855
18.84,1.0,0.994786450636372,0.0011510704318258504,-0.0002573848000347318,49.77113757340642,0.005213549363627945
18.85,1.0,0.9947979468382872,0.001148472093860049,-0.0002562121005861251,49.77169973654875,0.00520205316171285
18.86,1.0,0.9948094171206121,0.0011458855192514052,-0.0002550496456834979,49.772260167424825,0.005190582879387895
18.87,1.0,0.9948208616004265,0.0011433106055218553,-0.0002538974452992275,49.7728188657675,0.005179138399573513
18.88,1.0,0.9948322803937847,0.0011407472500967076,-0.0002527555073331123,49.77337583146076,0.005167719606215315
18.89,1.0,0.9948436736157146,0.001138195350325313,-0.0002516238375194647,49.77393106455005,0.005156326384285426
18.900000000000002,1.0,0.9948550413802171,0.0011356548035026557,-0.0002505024395265825,49.77448456523333,0.0051449586197829245
18.91,1.0,0.9948663838002659,0.001133125506889975,-0.0002493913149794942,49.775036333859845,0.00513361619973407
18.92,1.0,0.9948777009878069,0.0011306073577351237,-0.00024829046340704204,49.775586370936395,0.005122299012193077
18.93,1.0,0.9948889930537586,0.0011281002532934907,-0.00024719988239800447,49.7761346771128,0.005111006946241448
18.94,1.0,0.9949002601080118,0.0011256040908473339,-0.0002461195675097948,49.776681253191974,0.0050997398919881975
18.95,1.0,0.9949115022594304,0.001123118767726042,-0.0002450495123248479,49.77722610012533,0.005088497740569631
18.96,1.0,0.9949227196158515,0.0011206441813258444,-0.00024398970851767426,49.777769219007105,0.005077280384148453
18.97,1.0,0.994933912284087,0.0011181802291288154,-0.0002429401458568302,49.778310611075106,0.0050660877159129925
18.98,1.0,0.9949450803699238,0.0011157268087218846,-0.00024190081222735498,49.77885027770955,0.0050549196300762045
